sentence,audio_path,status
He crossed the room into the tiny kitchen.,english/english-sample63.wav,processed
"By leaving the Ministry at this time of day he had sacrificed his lunch in the canteen, and he was aware that there was no food in the kitchen except a hunk of dark-coloured bread which had got to be saved for tomorrow’s breakfast.",english/english-sample64.wav,processed
He took down from the shelf a bottle of colourless liquid with a plain white label marked VICTORY GIN.,english/english-sample65.wav,processed
"It gave off a sickly, oily smell, as of Chinese rice-spirit.",english/english-sample66.wav,processed
"Winston poured out nearly a teacupful, nerved himself for a shock, and gulped it down like a dose of medicine.",english/english-sample67.wav,processed
Instantly his face turned scarlet and the water ran out of his eyes.,english/english-sample68.wav,processed
"The next moment, however, the burning in his belly died down and the world began to look more cheerful.",english/english-sample70.wav,processed
With the next he was more successful.,english/english-sample72.wav,processed
He went back to the living-room and sat down at a small table that stood to the left of the telescreen.,english/english-sample73.wav,processed
For some reason the telescreen in the living-room was in an unusual position.,english/english-sample75.wav,processed
"Instead of being placed, as was normal, in the end wall, where it could command the whole room, it was in the longer wall, opposite the window.",english/english-sample76.wav,processed
"To one side of it there was a shallow alcove in which Winston was now sitting, and which, when the flats were built, had probably been intended to hold bookshelves.",english/english-sample77.wav,processed
"By sitting in the alcove, and keeping well back, Winston was able to remain outside the range of the telescreen, so far as sight went.",english/english-sample78.wav,processed
"He could be heard, of course, but so long as he stayed in his present position he could not be seen.",english/english-sample79.wav,processed
It was partly the unusual geography of the room that had suggested to him the thing that he was now about to do.,english/english-sample80.wav,processed
But it had also been suggested by the book that he had just taken out of the drawer.,english/english-sample81.wav,processed
It was a peculiarly beautiful book.,english/english-sample82.wav,processed
"Its smooth creamy paper, a little yellowed by age, was of a kind that had not been manufactured for at least forty years past.",english/english-sample83.wav,processed
"He could guess, however, that the book was much older than that.",english/english-sample84.wav,processed
He had given a quick glance up and down the street and then had slipped inside and bought the book for two dollars fifty.,english/english-sample87.wav,processed
At the time he was not conscious of wanting it for any particular purpose.,english/english-sample88.wav,processed
He had carried it guiltily home in his briefcase.,english/english-sample89.wav,processed
"Even with nothing written in it, it was a compromising possession.",english/english-sample90.wav,processed
The thing that he was about to do was to open a diary.,english/english-sample91.wav,processed
"This was not illegal (nothing was illegal, since there were no longer any laws), but if detected it was reasonably certain that it would be punished by death, or at least by twenty-five years in a forced-labour camp.",english/english-sample92.wav,processed
Winston fitted a nib into the penholder and sucked it to get the grease off.,english/english-sample93.wav,processed
Actually he was not used to writing by hand.,english/english-sample95.wav,processed
"Apart from very short notes, it was usual to dictate everything into the speak-write which was of course impossible for his present purpose.",english/english-sample96.wav,processed
He dipped the pen into the ink and then faltered for just a second.,english/english-sample97.wav,processed
A tremor had gone through his bowels.,english/english-sample98.wav,processed
To mark the paper was the decisive act.,english/english-sample99.wav,processed
"In small clumsy letters he wrote: April 4th, 1984.",english/english-sample100.wav,processed
He sat back.,english/english-sample101.wav,processed
A sense of complete helplessness had descended upon him.,english/english-sample102.wav,processed
"To begin with, he did not know with any certainty that this was 1984.",english/english-sample103.wav,processed
"For whom, it suddenly occurred to him to wonder, was he writing this diary? For the future, for the unborn.",english/english-sample105.wav,processed
"His mind hovered for a moment round the doubtful date on the page, and then fetched up with a bump against the Newspeak word doublethink.",english/english-sample106.wav,processed
For the first time the magnitude of what he had undertaken came home to him.,english/english-sample107.wav,processed
How could you communicate with the future? It was of its nature impossible.,english/english-sample108.wav,processed
For some time he sat gazing stupidly at the paper.,english/english-sample110.wav,processed
The telescreen had changed over to strident military music.,english/english-sample111.wav,processed
"It was curious that he seemed not merely to have lost the power of expressing himself, but even to have forgotten what it was that he had originally intended to say.",english/english-sample112.wav,processed
"For weeks past he had been making ready for this moment, and it had never crossed his mind that anything would be needed except courage.",english/english-sample113.wav,processed
The actual writing would be easy.,english/english-sample114.wav,processed
"At this moment, however, even the monologue had dried up.",english/english-sample116.wav,processed
"He dared not scratch it, because if he did so it always became inflamed.",english/english-sample118.wav,processed
The seconds were ticking by.,english/english-sample119.wav,processed
"He was conscious of nothing except the blankness of the page in front of him, the itching of the skin above his ankle, the blaring of the music, and a slight booziness caused by the gin.",english/english-sample120.wav,processed
"Suddenly he began writing in sheer panic, only imperfectly aware of what he was setting down.",english/english-sample121.wav,processed
"His small but childish handwriting straggled up and down the page, shedding first its capital letters and finally even its full stops: April 4th, 1984.",english/english-sample122.wav,processed
Last night to the flicks.,english/english-sample123.wav,processed
All war films.,english/english-sample124.wav,processed
One very good one of a ship full of refugees being bombed somewhere in the Mediterranean.,english/english-sample125.wav,processed
Then you saw a lifeboat full of children with a helicopter hovering over it.,english/english-sample127.wav,processed
Then the helicopter planted a 20 kilo bomb in among them terrific flash and the boat went all to matchwood.,english/english-sample130.wav,processed
He did not know what had made him pour out this stream of rubbish.,english/english-sample132.wav,processed
"But the curious thing was that while he was doing so a totally different memory had clarified itself in his mind, to the point where he almost felt equal to writing it down.",english/english-sample133.wav,processed
"It was, he now realized, because of this other incident that he had suddenly decided to come home and begin the diary today.",english/english-sample134.wav,processed
"It had happened that morning at the Ministry, if anything so nebulous could be said to happen.",english/english-sample135.wav,processed
One of them was a girl whom he often passed in the corridors.,english/english-sample138.wav,processed
"He did not know her name, but he knew that she worked in the Fiction Department.",english/english-sample139.wav,processed
Presumably — since he had sometimes seen her with oily hands and carrying a spanner — she had some mechanical job on one of the novel-writing machines.,english/english-sample140.wav,processed
"She was a bold-looking girl, of about twenty-seven, with thick hair, a freckled face, and swift, athletic movements.",english/english-sample141.wav,processed
Winston had disliked her from the very first moment of seeing her.,english/english-sample143.wav,processed
He knew the reason.,english/english-sample144.wav,processed
It was because of the atmosphere of hockey-fields and cold baths and community hikes and general clean-mindedness which she managed to carry about with her.,english/english-sample145.wav,processed
"He disliked nearly all women, and especially the young and pretty ones.",english/english-sample146.wav,processed
But this particular girl gave him the impression of being more dangerous than most.,english/english-sample148.wav,processed
Once when they passed in the corridor she gave him a quick sidelong glance which seemed to pierce right into him and for a moment had filled him with black terror.,english/english-sample149.wav,processed
The idea had even crossed his mind that she might be an agent of the Thought Police.,english/english-sample150.wav,processed
"That, it was true, was very unlikely.",english/english-sample151.wav,processed
"Still, he continued to feel a peculiar uneasiness, which had fear mixed up in it as well as hostility, whenever she was anywhere near him.",english/english-sample152.wav,processed
"The other person was a man named O’Brien, a member of the Inner Party and holder of some post so important and remote that Winston had only a dim idea of its nature.",english/english-sample153.wav,processed
A momentary hush passed over the group of people round the chairs as they saw the black overalls of an Inner Party member approaching.,english/english-sample154.wav,processed
"O’Brien was a large, burly man with a thick neck and a coarse, humorous, brutal face.",english/english-sample155.wav,processed
In spite of his formidable appearance he had a certain charm of manner.,english/english-sample156.wav,processed
"He had a trick of resettling his spectacles on his nose which was curiously disarming --in some indefinable way, curiously civilized.",english/english-sample157.wav,processed
Winston had seen O’Brien perhaps a dozen times in almost as many years.,english/english-sample159.wav,processed
"Much more it was because of a secretly held belief --or perhaps not even a belief, merely a hope --that O’Brien’s political orthodoxy was not perfect.",english/english-sample161.wav,processed
Something in his face suggested it irresistibly.,english/english-sample162.wav,processed
"And again, perhaps it was not even unorthodoxy that was written in his face, but simply intelligence.",english/english-sample163.wav,processed
But at any rate he had the appearance of being a person that you could talk to if somehow you could cheat the telescreen and get him alone.,english/english-sample164.wav,processed
"Winston had never made the smallest effort to verify this guess: indeed, there was no way of doing so.",english/english-sample165.wav,processed
"At this moment O’Brien glanced at his wrist-watch, saw that it was nearly eleven hundred, and evidently decided to stay in the Records Department until the Two Minutes Hate was over.",english/english-sample166.wav,processed
"He took a chair in the same row as Winston, a couple of places away.",english/english-sample167.wav,processed
"A small, sandy-haired woman who worked in the next cubicle to Winston was between them.",english/english-sample168.wav,processed
The girl with dark hair was sitting immediately behind.,english/english-sample169.wav,processed
It was a noise that set one’s teeth on edge and bristled the hair at the back of one’s neck.,english/english-sample171.wav,processed
The Hate had started.,english/english-sample172.wav,processed
"As usual, the face of Emmanuel Goldstein, the Enemy of the People, had flashed on to the screen.",english/english-sample173.wav,processed
There were hisses here and there among the audience.,english/english-sample174.wav,processed
The little sandy-haired woman gave a squeak of mingled fear and disgust.,english/english-sample175.wav,processed
"The programmes of the Two Minutes Hate varied from day to day, but there was none in which Goldstein was not the principal figure.",english/english-sample177.wav,processed
"He was the primal traitor, the earliest defiler of the Party’s purity.",english/english-sample178.wav,processed
"Before the Hate had proceeded for thirty seconds, uncontrollable exclamations of rage were breaking out from half the people in the room.",english/english-sample181.wav,processed
"He was an object of hatred more constant than either Eurasia or Eastasia, since when Oceania was at war with one of these Powers it was generally at peace with the other.",english/english-sample183.wav,processed
Always there were fresh dupes waiting to be seduced by him.,english/english-sample185.wav,processed
A day never passed when spies and saboteurs acting under his directions were not unmasked by the Thought Police.,english/english-sample186.wav,processed
"The Brotherhood, its name was supposed to be.",english/english-sample188.wav,processed
It was a book without a title.,english/english-sample190.wav,processed
"People referred to it, if at all, simply as the book.",english/english-sample191.wav,processed
But one knew of such things only through vague rumours.,english/english-sample192.wav,processed
Neither the Brotherhood nor the book was a subject that any ordinary Party member would mention if there was a way of avoiding it.,english/english-sample193.wav,processed
In its second minute the Hate rose to a frenzy.,english/english-sample194.wav,processed
People were leaping up and down in their places and shouting at the tops of their voices in an effort to drown the maddening bleating voice that came from the screen.,english/english-sample195.wav,processed
"The little sandy-haired woman had turned bright pink, and her mouth was opening and shutting like that of a landed fish.",english/english-sample196.wav,processed
Even O’Brien’s heavy face was flushed.,english/english-sample197.wav,processed
"He was sitting very straight in his chair, his powerful chest swelling and quivering as though he were standing up to the assault of a wave.",english/english-sample198.wav,processed
The dark-haired girl behind Winston had begun crying out “Swine! Swine! Swine!” and suddenly she picked up a heavy Newspeak dictionary and flung it at the screen.,english/english-sample199.wav,processed
In a lucid moment Winston found that he was shouting with the others and kicking his heel violently against the rung of his chair.,english/english-sample201.wav,processed
"The horrible thing about the Two Minutes Hate was not that one was obliged to act a part, but, on the contrary, that it was impossible to avoid joining in.",english/english-sample202.wav,processed
Within thirty seconds any pretence was always unnecessary.,english/english-sample203.wav,processed
"And yet the rage that one felt was an abstract, undirected emotion which could be switched from one object to another like the flame of a blowlamp.",english/english-sample205.wav,processed
"And yet the very next instant he was at one with the people about him, and all that was said of Goldstein seemed to him to be true.",english/english-sample207.wav,processed
"It was even possible, at moments, to switch one’s hatred this way or that by a voluntary act.",english/english-sample209.wav,processed
"Vivid, beautiful hallucinations flashed through his mind.",english/english-sample211.wav,processed
He would flog her to death with a rubber truncheon.,english/english-sample212.wav,processed
He would tie her naked to a stake and shoot her full of arrows like Saint Sebastian.,english/english-sample213.wav,processed
He would ravish her and cut her throat at the moment of climax.,english/english-sample214.wav,processed
"Better than before, moreover, he realized why it was that he hated her.",english/english-sample215.wav,processed
The Hate rose to its climax.,english/english-sample217.wav,processed
"The voice of Goldstein had become an actual sheep’s bleat, and for an instant the face changed into that of a sheep.",english/english-sample218.wav,processed
Nobody heard what Big Brother was saying.,english/english-sample221.wav,processed
"It was merely a few words of encouragement, the sort of words that are uttered in the din of battle, not distinguishable individually but restoring confidence by the fact of being spoken.",english/english-sample222.wav,processed
"Then the face of Big Brother faded away again, and instead the three slogans of the Party stood out in bold capitals: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH.",english/english-sample223.wav,processed
"But the face of Big Brother seemed to persist for several seconds on the screen, as though the impact that it had made on everyone’s eyeballs was too vivid to wear off immediately.",english/english-sample224.wav,processed
The little sandy-haired woman had flung herself forward over the back of the chair in front of her.,english/english-sample225.wav,processed
With a tremulous murmur that sounded like “My Saviour!” she extended her arms towards the screen.,english/english-sample226.wav,processed
Then she buried her face in her hands.,english/english-sample227.wav,processed
It was apparent that she was uttering a prayer.,english/english-sample228.wav,processed
He could not help feeling a twinge of panic.,english/english-sample229.wav,processed
"He did not do so, however, because he knew that it was useless.",english/english-sample231.wav,processed
"Whether he wrote DOWN WITH BIG BROTHER, or whether he refrained from writing it, made no difference.",english/english-sample232.wav,processed
"Whether he went on with the diary, or whether he did not go on with it, made no difference.",english/english-sample233.wav,processed
The Thought Police would get him just the same.,english/english-sample234.wav,processed
"He had committed—would still have committed, even if he had never set pen to paper—the essential crime that contained all others in itself.",english/english-sample235.wav,processed
"Thoughtcrime, they called it.",english/english-sample236.wav,processed
Thoughtcrime was not a thing that could be concealed for ever.,english/english-sample237.wav,processed
"You might dodge successfully for a while, even for years, but sooner or later they were bound to get you.",english/english-sample238.wav,processed
It was always at night—the arrests invariably happened at night.,english/english-sample239.wav,processed
"In the vast majority of cases there was no trial, no report of the arrest.",english/english-sample241.wav,processed
"People simply disappeared, always during the night.",english/english-sample242.wav,processed
"Your name was removed from the registers, every record of everything you had ever done was wiped out, your one-time existence was denied and then forgotten.",english/english-sample243.wav,processed
"You were abolished, annihilated: vapourized was the usual word.",english/english-sample244.wav,processed
For a moment he was seized by a kind of hysteria.,english/english-sample245.wav,processed
"He sat back in his chair, slightly ashamed of himself, and laid down the pen.",english/english-sample247.wav,processed
The next moment he started violently.,english/english-sample248.wav,processed
There was a knocking at the door.,english/english-sample249.wav,processed
"He sat as still as a mouse, in the futile hope that whoever it was might go away after a single attempt.",english/english-sample251.wav,processed
"But no, the knocking was repeated.",english/english-sample252.wav,processed
The worst thing of all would be to delay.,english/english-sample253.wav,processed
"His heart was thumping like a drum, but his face, from long habit, was probably expressionless.",english/english-sample254.wav,processed
He got up and moved heavily towards the door.,english/english-sample255.wav,processed
As he put his hand to the door-knob Winston saw that he had left the diary open on the table.,english/english-sample256.wav,processed
"DOWN WITH BIG BROTHER was written all over it, in letters almost big enough to be legible across the room.",english/english-sample257.wav,processed
It was an inconceivably stupid thing to have done.,english/english-sample258.wav,processed
"But, he realized, even in his panic he had not wanted to smudge the creamy paper by shutting the book while the ink was wet.",english/english-sample259.wav,processed
He drew in his breath and opened the door.,english/english-sample260.wav,processed
Instantly a warm wave of relief flowed through him.,english/english-sample261.wav,processed
"A colourless, crushed-looking woman, with wispy hair and a lined face, was standing outside.",english/english-sample262.wav,processed
Do you think you could come across and have a look at our kitchen sink?,english/english-sample264.wav,processed
One had the impression that there was dust in the creases of her face.,english/english-sample268.wav,processed
Winston followed her down the passage.,english/english-sample269.wav,processed
These amateur repair jobs were an almost daily irritation.,english/english-sample270.wav,processed
"Victory Mansions were old flats, built in 1930 or thereabouts, and were falling to pieces.",english/english-sample271.wav,processed
"The Parsons’ flat was bigger than Winston’s, and dingy in a different way.",english/english-sample276.wav,processed
"On the walls were scarlet banners of the Youth League and the Spies, and a full-sized poster of Big Brother.",english/english-sample279.wav,processed
In another room someone with a comb and a piece of toilet paper was trying to keep tune with the military music which was still issuing from the telescreen.,english/english-sample281.wav,processed
“They haven’t been out today.,english/english-sample284.wav,processed
And of course--” She had a habit of breaking off her sentences in the middle.,english/english-sample285.wav,processed
The kitchen sink was full nearly to the brim with filthy greenish water which smelt worse than ever of cabbage.,english/english-sample286.wav,processed
Winston knelt down and examined the angle-joint of the pipe.,english/english-sample287.wav,processed
"He hated using his hands, and he hated bending down, which was always liable to start him coughing.",english/english-sample288.wav,processed
Parsons looked on helplessly.,english/english-sample290.wav,processed
"“Of course if Tom was home he’d put it right in a moment,” she said.",english/english-sample291.wav,processed
“He loves anything like that.,english/english-sample292.wav,processed
“Have you got a spanner?”,english/english-sample299.wav,processed
"said Winston, fiddling with the nut on the angle-joint.",english/english-sample300.wav,processed
"“I don’t know, I’m sure.",english/english-sample304.wav,processed
There was a trampling of boots and another blast on the comb as the children charged into the living-room.,english/english-sample306.wav,processed
Parsons brought the spanner.,english/english-sample308.wav,processed
Winston let out the water and disgustedly removed the clot of human hair that had blocked up the pipe.,english/english-sample309.wav,processed
He cleaned his fingers as best he could in the cold water from the tap and went back into the other room.,english/english-sample310.wav,processed
“Up with your hands!”,english/english-sample311.wav,processed
"Both of them were dressed in the blue shorts, grey shirts, and red neckerchiefs which were the uniform of the Spies.",english/english-sample314.wav,processed
“You’re a traitor!”,english/english-sample316.wav,processed
“You’re a thought-criminal!,english/english-sample318.wav,processed
You’re a Eurasian spy!,english/english-sample319.wav,processed
"I’ll shoot you, I’ll vaporize you, I’ll send you to the salt mines!”",english/english-sample320.wav,processed
"Suddenly they were both leaping round him, shouting “Traitor!”",english/english-sample321.wav,processed
the little girl imitating her brother in every movement.,english/english-sample323.wav,processed
"It was somehow slightly frightening, like the gambolling of tiger cubs which will soon grow up into man-eaters.",english/english-sample324.wav,processed
"It was a good job it was not a real pistol he was holding, Winston thought.",english/english-sample326.wav,processed
"Parsons’ eyes flitted nervously from Winston to the children, and back again.",english/english-sample328.wav,processed
In the better light of the living-room he noticed with interest that there actually was dust in the creases of her face.,english/english-sample329.wav,processed
"“They do get so noisy,”",english/english-sample330.wav,processed
she said.,english/english-sample331.wav,processed
"“They’re disappointed because they couldn’t go to see the hanging, that’s what it is.",english/english-sample332.wav,processed
I’m too busy to take them.,english/english-sample333.wav,processed
And Tom won’t be back from work in time.”,english/english-sample334.wav,processed
“Why can’t we go and see the hanging?”,english/english-sample335.wav,processed
roared the boy in his huge voice.,english/english-sample336.wav,processed
“Want to see the hanging!,english/english-sample337.wav,processed
"chanted the little girl, still capering round.",english/english-sample339.wav,processed
"Some Eurasian prisoners, guilty of war crimes, were to be hanged in the Park that evening, Winston remembered.",english/english-sample340.wav,processed
"This happened about once a month, and was a popular spectacle.",english/english-sample341.wav,processed
Children always clamoured to be taken to see it.,english/english-sample342.wav,processed
But he had not gone six steps down the passage when something hit the back of his neck an agonizingly painful blow.,english/english-sample345.wav,processed
It was as though a red-hot wire had been jabbed into him.,english/english-sample346.wav,processed
But what most struck Winston was the look of helpless fright on the woman’s greyish face.,english/english-sample351.wav,processed
"Back in the flat he stepped quickly past the telescreen and sat down at the table again, still rubbing his neck.",english/english-sample352.wav,processed
The music from the telescreen had stopped.,english/english-sample353.wav,processed
"With those children, he thought, that wretched woman must lead a life of terror.",english/english-sample355.wav,processed
"Another year, two years, and they would be watching her night and day for symptoms of unorthodoxy.",english/english-sample356.wav,processed
Nearly all children nowadays were horrible.,english/english-sample357.wav,processed
"On the contrary, they adored the Party and everything connected with it.",english/english-sample359.wav,processed
"The songs, the processions, the banners, the hiking, the drilling with dummy rifles, the yelling of slogans, the worship of Big Brother—it was all a sort of glorious game to them.",english/english-sample360.wav,processed
"All their ferocity was turned outwards, against the enemies of the State, against foreigners, traitors, saboteurs, thought-criminals.",english/english-sample361.wav,processed
It was almost normal for people over thirty to be frightened of their own children.,english/english-sample362.wav,processed
"And with good reason, for hardly a week passed in which the Times did not carry a paragraph describing how some eavesdropping little sneak—“child hero”",english/english-sample363.wav,processed
was the phrase generally used—had overheard some compromising remark and denounced its parents to the Thought Police.,english/english-sample364.wav,processed
"He picked up his pen half-heartedly, wondering whether he could find something more to write in the diary.",english/english-sample366.wav,processed
Suddenly he began thinking of O’Brien again.,english/english-sample367.wav,processed
Years ago—how long was it?,english/english-sample368.wav,processed
Seven years it must be—he had dreamed that he was walking through a pitch-dark room.,english/english-sample369.wav,processed
"And someone sitting to one side of him had said as he passed: ‘We shall meet in the place where there is no darkness.’ It was said very quietly, almost casually—a statement, not a command.",english/english-sample370.wav,processed
He had walked on without pausing.,english/english-sample371.wav,processed
"What was curious was that at the time, in the dream, the words had not made much impression on him.",english/english-sample372.wav,processed
It was only later and by degrees that they had seemed to take on significance.,english/english-sample373.wav,processed
But at any rate the identification existed.,english/english-sample375.wav,processed
It was O’Brien who had spoken to him out of the dark.,english/english-sample376.wav,processed
Winston had never been able to feel sure—even after this morning’s flash of the eyes it was still impossible to be sure whether O’Brien was a friend or an enemy.,english/english-sample377.wav,processed
Nor did it even seem to matter greatly.,english/english-sample378.wav,processed
"There was a link of understanding between them, more important than affection or partisanship.",english/english-sample379.wav,processed
"‘We shall meet in the place where there is no darkness,’ he had said.",english/english-sample380.wav,processed
"Winston did not know what it meant, only that in some way or another it would come true.",english/english-sample381.wav,processed
The voice from the telescreen paused.,english/english-sample382.wav,processed
"A trumpet call, clear and beautiful, floated into the stagnant air.",english/english-sample383.wav,processed
The voice continued raspingly: “Attention!,english/english-sample384.wav,processed
"Your attention, please!",english/english-sample385.wav,processed
A newsflash has this moment arrived from the Malabar front.,english/english-sample386.wav,processed
Our forces in South India have won a glorious victory.,english/english-sample387.wav,processed
I am authorized to say that the action we are now reporting may well bring the war within measurable distance of its end.,english/english-sample388.wav,processed
Here is the newsflash—”,english/english-sample389.wav,processed
"Bad news coming, thought Winston.",english/english-sample390.wav,processed
Winston belched again.,english/english-sample392.wav,processed
"The gin was wearing off, leaving a deflated feeling.",english/english-sample393.wav,processed
"The telescreen—perhaps to celebrate the victory, perhaps to drown the memory of the lost chocolate—crashed into “Oceania, ’tis for thee”.",english/english-sample394.wav,processed
You were supposed to stand to attention.,english/english-sample395.wav,processed
"However, in his present position he was invisible.",english/english-sample396.wav,processed
"“Oceania, ’tis for thee”",english/english-sample397.wav,processed
gave way to lighter music.,english/english-sample398.wav,processed
"Winston walked over to the window, keeping his back to the telescreen.",english/english-sample399.wav,processed
The day was still cold and clear.,english/english-sample400.wav,processed
"Somewhere far away a rocket bomb exploded with a dull, reverberating roar.",english/english-sample401.wav,processed
About twenty or thirty of them a week were falling on London at present.,english/english-sample402.wav,processed
"Down in the street the wind flapped the torn poster to and fro, and the word INGSOC fitfully appeared and vanished.",english/english-sample403.wav,processed
The sacred principles of Ingsoc.,english/english-sample405.wav,processed
"Newspeak, doublethink, the mutability of the past.",english/english-sample406.wav,processed
"He felt as though he were wandering in the forests of the sea bottom, lost in a monstrous world where he himself was the monster.",english/english-sample407.wav,processed
He was alone.,english/english-sample408.wav,processed
"The past was dead, the future was unimaginable.",english/english-sample409.wav,processed
What certainty had he that a single human creature now living was on his side?,english/english-sample410.wav,processed
And what way of knowing that the dominion of the Party would not endure for ever?,english/english-sample411.wav,processed
"Like an answer, the three slogans on the white face of the Ministry of Truth came back to him:",english/english-sample412.wav,processed
He took a twenty-five cent piece out of his pocket.,english/english-sample414.wav,processed
"There, too, in tiny clear lettering, the same slogans were inscribed, and on the other face of the coin the head of Big Brother.",english/english-sample415.wav,processed
Even from the coin the eyes pursued you.,english/english-sample416.wav,processed
"On coins, on stamps, on the covers of books, on banners, on posters, and on the wrappings of a cigarette packet—everywhere.",english/english-sample417.wav,processed
Always the eyes watching you and the voice enveloping you.,english/english-sample418.wav,processed
